Ticker,Data Report,Score,Settore,Durata,Segnale su Breve Periodo,Segnale su Medio Periodo,Segnale su Lungo Periodo,Fase Mercato Globale,Fase Ticker,ATR,Entry,TP,SL
GOOGL,22-07-2025,80.0,Communication Services,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,4.014539931199983,178.69,196.55405,169.75122499999998
GOOG,22-07-2025,85.0,Communication Services,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,4.008341764048722,179.69,197.66174999999998,170.707875
T,22-07-2025,52.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,0.46793270492892647,25.79,28.371749999999995,24.502874999999996
CHTR,22-07-2025,44.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,9.59527820314608,364.89,401.37404999999995,346.64122499999996
CMCSA,22-07-2025,41.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Declino,0.6442843000927566,32.96,36.25105,31.307725
EA,22-07-2025,57.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Indefinita,2.562904734231174,144.5,158.95495,137.279275
FOXA,22-07-2025,49.0,Communication Services,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,1.2812710373070664,52.09,62.50619999999999,46.87965
FOX,22-07-2025,53.0,Communication Services,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,1.118906293599493,47.98,57.581399999999995,43.186049999999994
IPG,22-07-2025,56.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,0.6272561385615295,22.52,24.77695,21.398274999999998
LYV,22-07-2025,53.0,Communication Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Indefinita,3.3392871516030924,140.38,168.45780000000002,126.34335000000002
MTCH,22-07-2025,54.0,Communication Services,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Accumulo,0.6899630633101771,30.71,33.78485,29.177825
META,22-07-2025,47.0,Communication Services,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,13.5110912284718,670.9,805.0794,603.80955
NFLX,22-07-2025,43.0,Communication Services,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,35.506731096750656,1154.74,1385.6927999999998,1039.2695999999999
NWSA,22-07-2025,53.0,Communication Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Ritracciamento,0.543348707638225,27.45,32.934599999999996,24.70095
NWS,22-07-2025,53.0,Communication Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Ritracciamento,0.6681009345085267,31.56,37.870799999999996,28.4031
OMC,22-07-2025,41.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,1.9023863566098642,65.99,72.58569999999999,62.68765
PARA,22-07-2025,70.0,Communication Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Indefinita,0.20961888694025343,12.28,14.7402,11.05515
TMUS,22-07-2025,58.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,4.028936361073039,219.08,240.98745000000002,208.12552500000004
TTWO,22-07-2025,43.0,Technology,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,5.05317268602839,217.64,261.174,195.88049999999998
VZ,22-07-2025,49.0,Communication Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,0.7764225037154731,40.0,43.9945,37.995250000000006
DIS,22-07-2025,60.0,Communication Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,1.6958156621582114,113.99,136.7886,102.59145
WBD,22-07-2025,71.0,Communication Services,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,0.3923466938425509,11.97,13.166999999999998,11.3715
ABNB,22-07-2025,57.0,Consumer Cyclical,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Espansione,2.606665255417476,129.93,142.92464999999999,123.43492499999999
