Ticker,Data Report,Score,Settore,Durata,Segnale su Breve Periodo,Segnale su Medio Periodo,Segnale su Lungo Periodo,Fase Mercato Globale,Fase Ticker,ATR,Entry,TP,SL
GRMN,23-07-2025,91.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,3.5568310989577467,214.63,236.09685,203.901825
BLK,23-07-2025,75.0,Financial Services,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,23.630530131148365,1034.14,1137.55565,982.4344249999999
ETN,23-07-2025,75.0,Industrials,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,8.618170203451971,349.92,384.9153,332.42685
NI,23-07-2025,88.0,Utilities,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Espansione,0.6692532911906,39.67,43.639199999999995,37.688399999999994
GRMN,23-07-2025,91.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,3.5568310989577467,214.63,236.09685,203.901825
BLK,23-07-2025,75.0,Financial Services,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,23.630530131148365,1034.14,1137.55565,982.4344249999999
ETN,23-07-2025,75.0,Industrials,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,8.618170203451971,349.92,384.9153,332.42685
NI,23-07-2025,88.0,Utilities,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Espansione,0.6692532911906,39.67,43.639199999999995,37.688399999999994
AEP,23-07-2025,88.0,Utilities,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Espansione,1.6576671421757274,103.86,114.24985000000001,98.670325
GOOGL,23-07-2025,94.0,Communication Services,Medio Termine,BUY/HOLD 100%,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Espansione,4.037934607039985,179.85,197.83939999999998,170.86129999999997
TRMB,23-07-2025,75.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,1.4605453754975155,77.7,85.47055,73.815475
PNW,23-07-2025,85.0,Utilities,Medio Termine,BUY/HOLD 100%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Espansione,1.333998181918549,89.09,98.0001,84.63645000000001
