Ticker,Data Report,Score,Settore,Durata,Segnale su Breve Periodo,Segnale su Medio Periodo,Segnale su Lungo Periodo,Fase Mercato Globale,Fase Ticker,ATR,Entry,TP,SL
BKNG,07-04-2025,72.0,Consumer Cyclical,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,171.30044156347168,3988.45,4387.29665,3789.028925
DG,07-04-2025,85.0,Consumer Defensive,Medio Termine,NO TRADE/SELL,BUY/HOLD 100%,NO TRADE/SELL,Recessione moderata,Distribuzione,3.799487637663973,86.18,94.8024,81.8748
EXC,07-04-2025,72.0,Utilities,Medio Termine,NO TRADE/SELL,BUY/HOLD 100%,BUY/HOLD 100%,Recessione moderata,Indefinita,1.248630886287292,42.49,46.74285,40.368825
EXPE,18-04-2025,72.0,Consumer Cyclical,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,9.966320401950515,140.21,154.23155,133.199975
AMP,18-04-2025,75.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,23.656254572076097,428.82,471.70255,407.379475
FAST,18-04-2025,82.0,Industrials,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,2.941770193155892,75.03,90.03720000000001,67.5279
FTNT,18-04-2025,75.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,4.9736006983185606,88.9,97.7911,84.45595
NEM,18-04-2025,83.0,Basic Materials,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,2.513156553857945,51.96,57.15105,49.357725
RL,26-04-2025,82.0,Consumer Cyclical,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.983124417084827,203.45,223.7972,193.2794
RCL,26-04-2025,80.0,Consumer Cyclical,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.583162280277325,195.24,214.7684,185.4818
YUM,26-04-2025,71.0,Consumer Cyclical,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,4.08679215411249,138.26,152.0893,131.34985
KVUE,26-04-2025,76.0,Consumer Defensive,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,0.733303601317403,21.26,23.3871,20.19795
PM,26-04-2025,100.0,Consumer Defensive,Medio Termine,BUY/HOLD 100%,BUY/HOLD 100%,BUY/HOLD 100%,Recessione moderata,Indefinita,4.729529180567726,159.32,175.25695,151.358275
CME,26-04-2025,72.0,Financial Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 100%,Recessione moderata,Ritracciamento,7.1562058733763525,246.71,296.0466,222.03495
DFS,26-04-2025,71.0,Financial Services,Breve Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.010762893083085,172.85,179.76659999999998,169.39544999999998
EG,26-04-2025,71.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,10.105665964028349,332.63,365.8963,316.00135
FIS,26-04-2025,71.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 100%,NO TRADE/SELL,Recessione moderata,Distribuzione,3.202803206793271,74.36,81.79214999999999,70.63867499999999
GS,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,25.47797734530663,506.0,556.59835,480.698575
SCHW,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,3.026729090554771,73.98,81.37415,70.277675
MA,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,17.534907920538892,500.36,550.3910500000001,475.3377250000001
MS,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,5.485505743633232,107.22,117.9387,101.85615
LDOS,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Accumulo,4.400965063167423,136.19,149.8112,129.38240000000002
NSC,26-04-2025,71.0,Industrials,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,8.347444229192703,211.38,232.52295,200.815275
PAYC,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,10.08973543575777,209.78,230.7569,199.29005
RSG,26-04-2025,74.0,Industrials,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,BUY/HOLD 66%,Recessione moderata,Ritracciamento,5.700627383985197,226.01,271.2174,203.41305
JBL,26-04-2025,72.0,Technology,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.44946080534161,135.29,148.81845,128.525025
NXPI,26-04-2025,76.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,10.852771620276776,178.73,196.6063,169.79635
PLTR,26-04-2025,84.0,Technology,Medio Termine,BUY/HOLD 100%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.513163258041613,98.82,108.7009,93.87805
EXC,26-04-2025,76.0,Utilities,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Ritracciamento,1.2296360724352997,43.43,52.1208,39.0906
FAST,26-04-2025,72.0,Industrials,Medio Termine,NO TRADE/SELL,BUY/HOLD 66%,NO TRADE/SELL,Recessione moderata,Indefinita,2.4567482473447644,76.83,84.50915,72.98517500000001
NEM,26-04-2025,75.0,Basic Materials,Medio Termine,BUY/HOLD 100%,BUY/HOLD 100%,NO TRADE/SELL,Recessione moderata,Indefinita,2.443895698899196,51.76,56.9316,49.1682
RL,26-04-2025,82.0,Consumer Cyclical,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.983124417084827,203.45,223.7972,193.2794
RCL,26-04-2025,80.0,Consumer Cyclical,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.583162280277325,195.24,214.7684,185.4818
YUM,26-04-2025,71.0,Consumer Cyclical,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,4.08679215411249,138.26,152.0893,131.34985
KVUE,26-04-2025,76.0,Consumer Defensive,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,0.733303601317403,21.26,23.3871,20.19795
PM,26-04-2025,100.0,Consumer Defensive,Medio Termine,BUY/HOLD 100%,BUY/HOLD 100%,BUY/HOLD 100%,Recessione moderata,Indefinita,4.729529180567726,159.32,175.25695,151.358275
CME,26-04-2025,72.0,Financial Services,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 100%,Recessione moderata,Ritracciamento,7.1562058733763525,246.71,296.0466,222.03495
DFS,26-04-2025,71.0,Financial Services,Breve Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,11.010762893083085,172.85,179.76659999999998,169.39544999999998
EG,26-04-2025,71.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,10.105665964028349,332.63,365.8963,316.00135
FIS,26-04-2025,71.0,Technology,Medio Termine,NO TRADE/SELL,BUY/HOLD 100%,NO TRADE/SELL,Recessione moderata,Distribuzione,3.202803206793271,74.36,81.79214999999999,70.63867499999999
GS,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,25.47797734530663,506.0,556.59835,480.698575
SCHW,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,3.026729090554771,73.98,81.37415,70.277675
MA,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,17.534907920538892,500.36,550.3910500000001,475.3377250000001
MS,26-04-2025,72.0,Financial Services,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,5.485505743633232,107.22,117.9387,101.85615
LDOS,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Accumulo,4.400965063167423,136.19,149.8112,129.38240000000002
NSC,26-04-2025,71.0,Industrials,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,8.347444229192703,211.38,232.52295,200.815275
PAYC,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,10.08973543575777,209.78,230.7569,199.29005
RSG,26-04-2025,74.0,Industrials,Lungo Termine,NO TRADE/SELL,NO TRADE/SELL,BUY/HOLD 66%,Recessione moderata,Ritracciamento,5.700627383985197,226.01,271.2174,203.41305
JBL,26-04-2025,72.0,Technology,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.44946080534161,135.29,148.81845,128.525025
NXPI,26-04-2025,76.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,10.852771620276776,178.73,196.6063,169.79635
PLTR,26-04-2025,84.0,Technology,Medio Termine,BUY/HOLD 100%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.513163258041613,98.82,108.7009,93.87805
ALLE,26-04-2025,82.0,Industrials,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,5.624399890860903,129.86,142.8515,123.37174999999998
AXON,26-04-2025,75.0,Industrials,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Espansione,27.801929551126456,547.93,602.72465,520.534925
APH,26-04-2025,88.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,4.171581980795975,70.24,77.26729999999999,66.73084999999999
ADI,26-04-2025,71.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,10.652866350726717,180.4,198.4455,171.38475
CDNS,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,12.8719892947602,261.57,287.7303,248.49435
CRWD,26-04-2025,75.0,Technology,Medio Termine,BUY/HOLD 100%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,23.167677255269687,382.35,420.58115,363.22917500000005
FFIV,26-04-2025,74.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,10.348786956804604,249.84,274.82455000000004,237.348475
GDDY,26-04-2025,72.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Ritracciamento,6.388439272658957,168.37,185.20535,159.95007499999997
HPE,26-04-2025,71.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,0.9286658240242632,14.93,16.427400000000002,14.1873
VRSN,26-04-2025,74.0,Technology,Lungo Termine,NO TRADE/SELL,BUY/HOLD 66%,BUY/HOLD 66%,Recessione moderata,Ritracciamento,6.45947118952512,236.89,284.2704,213.2028
JBL,26-04-2025,72.0,Technology,Medio Termine,BUY/HOLD 75%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.44946080534161,135.29,148.81845,128.525025
NXPI,26-04-2025,76.0,Technology,Medio Termine,NO TRADE/SELL,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Distribuzione,10.852771620276776,178.73,196.6063,169.79635
PLTR,26-04-2025,84.0,Technology,Medio Termine,BUY/HOLD 100%,NO TRADE/SELL,NO TRADE/SELL,Recessione moderata,Indefinita,7.513163258041613,98.82,108.7009,93.87805
